GeneId                                                    SourceOrg                        SourceSeq                        SourceSO    Direction  TseBegin   TseEnd     AraBegin   AraEnd     Foundby
BayalaiB08-376_Baya_001_1                                 BayalaiB08-376                   Baya_001                         contig      -          147913     147984     147913     147984     both   
BayalaiB08-376_Baya_001_2                                 BayalaiB08-376                   Baya_001                         contig      -          148046     148116     148046     148116     both   
BayalaiB08-376_Baya_001_3                                 BayalaiB08-376                   Baya_001                         contig      +          212366     212438     212366     212438     both   
BayalaiB08-376_Baya_001_4                                 BayalaiB08-376                   Baya_001                         contig      -          212478     212558     212478     212558     both   
BayalaiB08-376_Baya_002_5                                 BayalaiB08-376                   Baya_002                         contig      -          215631     215703     215630     215703     both   
BayalaiB08-376_Baya_002_6                                 BayalaiB08-376                   Baya_002                         contig      +          215775     215847     215775     215848     both   
BayalaiB08-376_Baya_002_7                                 BayalaiB08-376                   Baya_002                         contig      -          309140     309211     309139     309211     both   
BayalaiB08-376_Baya_004_8                                 BayalaiB08-376                   Baya_004                         contig      +          -1         -1         173556     173714     ara    
BayalaiB08-376_Baya_017_9                                 BayalaiB08-376                   Baya_017                         contig      +          7232       7303       7232       7303       both   
BayalaiB08-376_Baya_021_10                                BayalaiB08-376                   Baya_021                         contig      +          68911      68983      68911      68984      both   
BayalaiB08-376_Baya_022_11                                BayalaiB08-376                   Baya_022                         contig      +          56667      56738      56667      56738      both   
BayalaiB08-376_Baya_022_12                                BayalaiB08-376                   Baya_022                         contig      +          56815      56887      56815      56888      both   
BayalaiB08-376_Baya_023_13                                BayalaiB08-376                   Baya_023                         contig      +          107701     107773     107701     107773     both   
BayalaiB08-376_Baya_023_14                                BayalaiB08-376                   Baya_023                         contig      -          107812     107892     107810     107893     both   
BayalaiB08-376_Baya_023_15                                BayalaiB08-376                   Baya_023                         contig      -          107950     108023     107949     108023     both   
BayalaiB08-376_Baya_024_16                                BayalaiB08-376                   Baya_024                         contig      +          139        211        139        212        both   
BayalaiB08-376_Baya_025_17                                BayalaiB08-376                   Baya_025                         contig      +          125        205        125        205        both   
BayalaiB08-376_Baya_028_18                                BayalaiB08-376                   Baya_028                         contig      -          -1         -1         149216     149357     ara    
BayalaiB08-376_Baya_029_19                                BayalaiB08-376                   Baya_029                         contig      -          122992     123074     122992     123074     both   
BayalaiB08-376_Baya_029_20                                BayalaiB08-376                   Baya_029                         contig      +          123149     123220     123149     123220     both   
BayalaiB08-376_Baya_030_21                                BayalaiB08-376                   Baya_030                         contig      +          -1         -1         127843     127922     ara    
BayalaiB08-376_Baya_052_22                                BayalaiB08-376                   Baya_052                         contig      -          -1         -1         3934       4134       ara    
BayalaiB08-376_Baya_059_23                                BayalaiB08-376                   Baya_059                         contig      +          43650      43721      43649      43722      both   
BayalaiB08-376_Baya_059_24                                BayalaiB08-376                   Baya_059                         contig      +          43776      43847      43776      43847      both   
BayalaiB08-376_Baya_059_25                                BayalaiB08-376                   Baya_059                         contig      +          43907      43988      43907      43988      both   
BayalaiB08-376_Baya_062_26                                BayalaiB08-376                   Baya_062                         contig      +          5414       5485       5414       5485       both   
BayalaiB08-376_Baya_062_27                                BayalaiB08-376                   Baya_062                         contig      -          5542       5613       5542       5613       both   
BayalaiB08-376_Baya_065_28                                BayalaiB08-376                   Baya_065                         contig      +          100023     100103     100023     100103     both   
BayalaiB08-376_Baya_065_29                                BayalaiB08-376                   Baya_065                         contig      -          100170     100242     100170     100242     both   
BayalaiB08-376_Baya_065_30                                BayalaiB08-376                   Baya_065                         contig      -          100309     100382     100308     100382     both   
BayalaiB08-376_Baya_065_31                                BayalaiB08-376                   Baya_065                         contig      -          100439     100512     100438     100512     both   
BayalaiB08-376_Baya_065_32                                BayalaiB08-376                   Baya_065                         contig      +          100589     100672     100589     100672     both   
BayalaiB08-376_Baya_065_33                                BayalaiB08-376                   Baya_065                         contig      -          99870      99949      99870      99949      both   
BayalaiB08-376_Baya_066_34                                BayalaiB08-376                   Baya_066                         contig      +          -1         -1         13500      13627      ara    
BayalaiB08-376_Baya_073_35                                BayalaiB08-376                   Baya_073                         contig      +          60906      60977      60906      60977      both   
BayalaiB08-376_Baya_074_36                                BayalaiB08-376                   Baya_074                         contig      +          41864      41944      41864      41944      both   
BayalaiB08-376_Baya_074_37                                BayalaiB08-376                   Baya_074                         contig      +          42003      42084      42003      42085      both   
BayalaiB08-376_Baya_076_38                                BayalaiB08-376                   Baya_076                         contig      +          93160      93231      93159      93232      both   
BayalaiB08-376_Baya_077_39                                BayalaiB08-376                   Baya_077                         contig      -          91164      91235      91163      91235      both   
BayalaiB08-376_Baya_077_40                                BayalaiB08-376                   Baya_077                         contig      +          91398      91468      91397      91469      both   
BayalaiB08-376_Baya_087_41                                BayalaiB08-376                   Baya_087                         contig      +          51747      51834      51747      51834      both   
BayalaiB08-376_Baya_094_42                                BayalaiB08-376                   Baya_094                         contig      -          -1         -1         13471      13566      ara    
BayalaiB08-376_Baya_104_43                                BayalaiB08-376                   Baya_104                         contig      -          66987      67059      66987      67059      both   
BayalaiB08-376_Baya_104_44                                BayalaiB08-376                   Baya_104                         contig      -          67116      67187      67115      67187      both   
BayalaiB08-376_Baya_104_45                                BayalaiB08-376                   Baya_104                         contig      -          67606      67677      67605      67678      both   
BayalaiB08-376_Baya_104_46                                BayalaiB08-376                   Baya_104                         contig      +          68252      68324      68252      68324      both   
BayalaiB08-376_Baya_104_47                                BayalaiB08-376                   Baya_104                         contig      +          68382      68453      68382      68453      both   
BayalaiB08-376_Baya_104_48                                BayalaiB08-376                   Baya_104                         contig      -          68511      68583      68511      68583      both   
