GeneId                                                       TseIntronBegin       TseIntronEnd         AraIntronLocStart    AraIntronLocEnd     
BayalaiB08-376_Baya_001_1                                    0                    0                    nointron             nointron            
BayalaiB08-376_Baya_001_2                                    0                    0                    nointron             nointron            
BayalaiB08-376_Baya_001_3                                    0                    0                    nointron             nointron            
BayalaiB08-376_Baya_001_4                                    0                    0                    nointron             nointron            
BayalaiB08-376_Baya_002_5                                    0                    0                    nointron             nointron            
BayalaiB08-376_Baya_002_6                                    0                    0                    nointron             nointron            
BayalaiB08-376_Baya_002_7                                    0                    0                    nointron             nointron            
BayalaiB08-376_Baya_004_8                                    notfound             notfound             31                   122                 
BayalaiB08-376_Baya_017_9                                    0                    0                    nointron             nointron            
BayalaiB08-376_Baya_021_10                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_022_11                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_022_12                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_023_13                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_023_14                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_023_15                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_024_16                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_025_17                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_028_18                                   notfound             notfound             34                   80                  
BayalaiB08-376_Baya_029_19                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_029_20                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_030_21                                   notfound             notfound             nointron             nointron            
BayalaiB08-376_Baya_052_22                                   notfound             notfound             39                   143                 
BayalaiB08-376_Baya_059_23                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_059_24                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_059_25                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_062_26                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_062_27                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_065_28                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_065_29                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_065_30                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_065_31                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_065_32                                   100626               100636               38                   49                  
BayalaiB08-376_Baya_065_33                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_066_34                                   notfound             notfound             27                   68                  
BayalaiB08-376_Baya_073_35                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_074_36                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_074_37                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_076_38                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_077_39                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_077_40                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_087_41                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_094_42                                   notfound             notfound             nointron             nointron            
BayalaiB08-376_Baya_104_43                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_104_44                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_104_45                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_104_46                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_104_47                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_104_48                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_118_49                                   notfound             notfound             nointron             nointron            
BayalaiB08-376_Baya_130_50                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_138_51                                   notfound             notfound             32                   82                  
BayalaiB08-376_Baya_162_52                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_168_53                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_168_54                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_178_55                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_195_56                                   notfound             notfound             35                   108                 
BayalaiB08-376_Baya_228_57                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_237_58                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_237_59                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_237_60                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_237_61                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_237_62                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_237_63                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_237_64                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_237_65                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_237_66                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_256_67                                   notfound             notfound             39                   138                 
BayalaiB08-376_Baya_294_68                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_294_69                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_294_70                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_296_71                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_296_72                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_296_73                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_296_74                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_297_75                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_297_76                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_300_77                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_312_78                                   0                    0                    nointron             nointron            
BayalaiB08-376_Baya_357_79                                   0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_01_1                                  0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_01_2                                  0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_02_3                                  notfound             notfound             30                   88                  
CfasciculataCfCl_CfaC1_02_4                                  0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_04_5                                  notfound             notfound             35                   137                 
CfasciculataCfCl_CfaC1_04_6                                  0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_04_7                                  0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_04_8                                  0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_05_9                                  notfound             notfound             nointron             nointron            
CfasciculataCfCl_CfaC1_05_10                                 0                    0                    nointron             nointron            
